Wypadki drogowe	Zatrzymani poszukiwani	Zatrzymani nietrzeźwi kierujący	temperature_max	mobilność pojazdów	Zabici w wypadkach	Ranni w wypadkach	temperature	temperature_min	Interwencje	Zatrzymani na gorącym uczynku
31	126	106	5,1	-62,62	3	30	0,3	-5,1	11688	255
17	139	104	7,5	-63,67	2	27	2,5	-3	13228	301
29	151	94	8	-64,22	2	32	4,4	1,6	13966	296
24	153	114	10,6	-63,4	3	20	6,6	0,2	15926	285
30	151	145	10,4	-70,49	4	33	4,6	-2	18900	383
26	152	189	14	-69,8	4	33	6,5	-3,3	17646	416
40	163	117	18,9	-62,56	4	49	11,3	2,5	17437	332
31	164	117	21,6	-60,44	4	31	13,4	4,1	17869	359
39	186	130	20	-58,06	3	41	12,6	3	18834	348
42	189	133	21,8	-56,52	2	43	14,2	3,5	18273	391
40	175	178	15,8	-59,66	7	42	9,6	3	19801	434
39	141	212	13,7	-74,12	6	40	9,5	4	18796	471
14	90	180	19,5	-80,22	2	15	11,8	2,4	14774	383
25	110	150	16,5	-73,02	2	31	8,4	2,4	10579	358
21	148	116	8,5	-59,84	3	19	3,5	-1,6	12768	350
27	195	107	8,8	-57,25	3	31	5,5	1,3	13327	363
33	222	142	17,2	-56,96	4	35	11,6	6	16138	420
32	201	126	15	-54,46	4	37	9,1	0,6	17399	397
32	147	178	12,5	-62,91	4	31	7,8	0,2	18132	421
31	111	222	11,7	-62,45	7	31	7,4	0,1	13396	493
40	160	153	13,3	-48,94	13	41	9,4	1,5	15613	394
47	176	146	15,2	-46,92	4	46	11,1	3,9	15190	419
37	229	135	17	-44,89	0	43	12,6	7,1	15465	439
48	228	152	18,5	-41,08	3	55	12,5	5,6	16298	484
58	238	155	21	-38,72	8	58	13,7	3,5	17758	456
47	153	216	16,9	-49,22	6	59	10,2	6,3	16070	481
40	141	205	13,6	-44,47	8	49	8,6	-0,9	13759	467
62	205	164	18,4	-38,62	4	71	11,9	0,6	15889	508
52	258	160	24	-38,62	3	63	16,2	5,7	16669	487
59	248	146	18,5	-36,56	6	82	11,7	8,3	14973	515
64	181	151	17	-27,35	7	74	10,9	5,9	17544	457
45	128	239	17,6	-42,65	8	52	11,2	6,6	15347	545
39	125	236	16,6	-40,38	6	41	11,8	5,2	16245	563
37	160	260	14,2	-36,27	2	43	10,4	6	12560	546
42	179	150	16,4	-32,82	9	44	11,1	5	14692	395
53	225	134	13,8	-34,08	6	69	7,9	6,4	14026	471
45	222	126	12,1	-31,78	3	50	8,8	6,1	13591	506
35	263	136	16,1	-25,43	9	38	10,6	2,9	15006	510
61	248	155	18,1	-13,59	6	68	13,3	7,9	17847	519
85	193	244	20	-18,35	2	95	14,4	7,4	19989	604
65	164	330	23,7	-10,42	8	67	17,5	9,8	16592	673
70	230	178	25,4	-10,42	6	82	16,8	6,9	15798	532
36	274	158	11,6	-10,42	1	52	6	1	14783	544
36	272	149	13,4	-23,56	2	39	9,3	3,8	15075	546
38	304	174	15	-22,08	1	45	10,1	7	15485	608
56	262	160	16	-12,05	6	56	10,1	3	17037	554
62	168	245	14	-22,81	2	69	10,1	5	17644	655
48	151	275	18	-16,6	5	55	11,8	5	14699	753
63	205	197	17	-17,98	7	69	13	9	15533	597
63	205	197	18	-15,02	7	69	13,4	8	15533	597
54	299	189	17	-10,13	5	54	11,2	6	16396	577
45	261	157	17	-10,13	1	47	11,2	6	16004	586
72	306	201	15	-4,87	6	71	10,1	5	16706	640
72	269	188	17	0,67	2	82	10,3	2	17807	622
50	180	242	18	-15,95	5	57	12,6	4	16946	625
50	166	284	19	-13,33	10	66	13	8	13749	630
57	250	178	18	-11,21	6	71	12,2	8	15489	546
48	281	144	20	-5,06	3	54	13,9	8	15783	562
60	311	186	21	-5,06	6	65	14,8	8	16226	596
60	311	186	21	-5,06	6	65	15,9	8	16226	596
